strategy,regime,market,total_return,annual_return,max_drawdown,sharpe_ratio,win_rate,profit_factor,total_trades,n_months
Blakever牛市,牛市,港股,-35.122784264017426,-9.331832446832,39.06712450003088,-0.39904552404366567,50.0,0.10096315729636912,2,53
长期持有,牛市,港股,21.648576585202306,4.536875800775797,46.123195996505636,0.32604754109085865,,,1,53
EMA Crossover,牛市,港股,-32.59153772235335,-8.54270352326404,39.06712450003088,-0.3427761403377779,0.0,0.0,2,53
Blakever震荡市,震荡市,港股,25.814304603364974,9.96832121126272,13.61794995154127,0.6398852510111092,100.0,999.0,1,29
长期持有,震荡市,港股,-4.608002543754495,-1.933159564889697,38.47196232673224,0.09291374605667292,,,1,29
EMA Crossover,震荡市,港股,-4.439891578438221,-1.8616827238349898,16.781631621422683,-0.1009375732851139,0.0,0.0,2,29
Blakever熊市,熊市,港股,1.463041186890564,0.3491943465529168,10.088824953727539,0.08278520965635017,100.0,999.0,1,50
长期持有,熊市,港股,19.087354414513698,4.281616662380117,49.27658710327814,0.2714792446329571,,,1,50
EMA Crossover,熊市,港股,-12.153687119176112,-3.0620906548170623,12.153687119176112,-0.6911252592989394,0.0,0.0,3,50
长期持有,全周期,港股,-4.608002543754495,-0.42794981168055024,55.341322037371896,0.08105623546809966,,,1,132
EMA Crossover,全周期,港股,46.49528991589564,3.532065477216162,28.638474188029473,0.36114891762044354,33.33333333333333,1.0388505934526542,4,132
Blakever牛市,牛市,美股,-3.647553692044269,-0.5171336081064792,6.557259161117111,-0.21868919912465384,0.0,0.0,1,86
长期持有,牛市,美股,235.4811659662864,18.399275069235177,13.781896613220642,1.6110053197091747,,,1,86
EMA Crossover,牛市,美股,58.21750052804481,6.611230552555325,6.557259161117111,1.0665342523327603,,,1,86
Blakever震荡市,震荡市,美股,0.0,0.0,,0.0,,,0,33
长期持有,震荡市,美股,209.79173290183599,50.85886817906442,12.218731852746032,1.2974814154455192,,,1,33
EMA Crossover,震荡市,美股,211.3325957576683,51.13129277703319,12.21873185274603,1.3286749060373382,,,1,33
Blakever熊市,熊市,美股,0.0,0.0,,0.0,,,0,13
长期持有,熊市,美股,122.15369886510963,108.92378782102546,13.226286557845185,1.5053887289643813,,,1,13
EMA Crossover,熊市,美股,0.0,0.0,,0.0,,,0,13
长期持有,全周期,美股,234.1232519846825,11.59066914161877,24.76952192321734,0.810550503967767,,,1,132
EMA Crossover,全周期,美股,149.76275579860283,8.677309909209452,20.147635829176167,0.7458995815399151,66.66666666666666,6.58082796641291,4,132
